,epoch,training time,evaluating time,test time
0,1,485.841335,21.750292,8.627478
1,2,984.367615,44.240557,17.234053
2,3,1481.291878,67.554874,26.335361
3,4,1935.81471,82.273289,32.731079
4,5,2333.437414,96.288842,39.063774
5,6,2729.172537,111.744695,45.1165
6,7,3123.65037,126.625736,50.133751
7,8,3518.68115,141.964542,55.751825
8,9,3879.278504,151.409872,59.543453
9,10,4165.117734,160.047353,63.154855
10,11,4451.9696,167.379144,65.894653
11,12,4559.979509,173.74549,68.135003
12,13,4607.733525,177.725535,69.691459
13,14,4654.104665,181.893654,71.081496
14,15,4701.408704,186.035306,72.475779
15,16,4748.668285,190.180823,73.834012
16,17,4796.020334,194.320609,75.111457
17,18,4843.47856,198.430755,76.358609
18,19,4890.674345,202.558302,77.587124
19,20,4937.915246,206.710474,78.829035
20,21,4985.285449,211.489402,80.134991
21,22,5032.940636,215.63451,81.376333
22,23,5080.143386,219.754149,82.644915
23,24,5127.474931,223.892486,83.868834
24,25,5173.795442,227.801486,85.094523
25,26,5219.063657,231.737289,86.261749
26,27,5264.619887,236.178234,87.519309
27,28,5375.165304,245.530601,90.824223
28,29,5469.081277,252.206747,92.784675
29,30,5655.346151,258.608498,94.838291
30,31,5734.457687,265.036637,96.943945
31,32,5812.756018,271.224747,98.96493
32,33,5891.476298,277.657502,100.944158
33,34,5969.995488,284.084187,102.915191
34,35,6049.488532,290.495388,104.880515
35,36,6129.086842,296.885135,106.822932
36,37,6208.257418,303.276537,108.684292
37,38,6288.248171,309.655908,110.656955
38,39,6367.833862,316.00487,112.939185
39,40,6447.25677,322.373937,114.905503
40,41,6525.83615,328.568707,117.030734
41,42,6605.521353,334.97561,119.31915
42,43,6683.722492,341.365388,121.37135
43,44,6763.003283,347.765613,123.403171
44,45,6844.557309,354.245459,125.46803
45,46,6929.187224,360.772005,127.397662
46,47,7013.633455,367.316911,129.388225
47,48,7098.319621,373.821384,131.23382
48,49,7182.797526,380.356093,133.097988
49,50,7267.036537,386.834143,135.28936
